Latitude,Longitude,city,country,Temperature,Humidity,Cloudiness,Wind Speed
4.702834624661975,-132.85742701093864,atuona,pf,299.214,100,92,4.86
-70.18768097241431,10.271577479055225,hermanus,za,254.364,57,8,5.28
-79.3372060893213,-15.55487726279722,cape town,za,247.964,67,48,5.68
-34.02790447768351,-89.95846689870031,lebu,cl,292.564,100,36,7.43
49.077629436526365,149.6503449680868,vostok,ru,272.364,92,24,8.11
-42.000457315231955,23.298720699933995,plettenberg bay,za,284.714,100,64,2.36
-67.01586247469994,-59.51010732057448,ushuaia,ar,266.264,87,0,3.26
75.47975894594043,-96.21964281528157,thompson,ca,239.714,44,0,5.36
-76.15314348427847,24.602335337021003,bredasdorp,za,214.014,0,0,1.81
30.440153840115727,4.953128767134956,warqla,dz,295.264,23,0,3.28
-22.657113387801644,-125.75486621849183,rikitea,pf,297.864,100,92,2.06
78.09982144207137,148.23669853756735,chokurdakh,ru,251.814,73,36,6.26
-69.46713357590643,33.0404708916943,port elizabeth,za,263.564,84,68,10.61
67.11422504711686,-79.07861368545032,clyde river,ca,247.564,85,8,9.13
74.05291655596136,97.75012292417404,khatanga,ru,252.764,67,88,2.16
-26.802562818097556,96.19902735957123,carnarvon,au,295.414,100,68,6.48
-64.6985144080474,33.972832111900914,port alfred,za,273.564,93,36,6.33
-33.50890972693292,48.417056394155026,taolanaro,mg,295.564,97,92,0.73
55.810595681576075,93.3423107387988,zykovo,ru,268.15,79,40,4
37.83007341251496,123.32641848980518,yatou,cn,281.014,85,44,8.61
-24.154723418252345,19.124700586869352,aranos,na,300.714,31,0,1.23
40.79063024253594,24.215092718505474,kipia,gr,287.93,87,75,3.1
-57.92298195721838,154.32887723543712,hobart,au,278.564,92,64,16.68
24.770891567232724,-75.60932128983725,rock sound,bs,298.614,94,76,1.81
12.435727829782337,-83.48807124915848,laguna de perlas,ni,303.15,74,40,4.1
28.862608061581284,-97.77678479336932,beeville,us,291.31,28,40,4.6
-27.88718069048072,114.74632627485641,geraldton,au,295.864,72,0,3.43
12.492319621835023,-102.00600793659223,acapulco,mx,301.814,98,80,6.33
14.097044646884058,-115.06272065330806,cabo san lucas,mx,298.764,99,20,5.36
16.533711729717993,-89.40324367733356,dolores,gt,299.15,74,40,4.1
29.67985694200746,66.43037973124555,nushki,pk,282.814,76,80,4.23
4.618716663113673,146.55718905309402,lorengau,pg,300.714,100,80,3.88
46.90040682078859,4.886687148329827,chalon-sur-saone,fr,279.03,70,90,1
-10.226681415020877,-99.46835498683693,puerto ayora,ec,299.264,100,56,6.98
-16.283417043537497,157.53601414466414,honiara,sb,300.964,100,92,5.46
41.37896774374241,70.65529214191758,naugarzan,tj,268.814,78,68,0.58
49.16550543068038,86.23145502767773,ust-koksa,ru,250.764,50,0,0.83
52.316181230461154,-102.94910533305685,preeceville,ca,275.214,90,32,4.01
-89.3148012801771,-112.6133500948915,punta arenas,cl,222.264,0,24,4.98
-79.7275784660526,171.38051999462255,bluff,nz,237.214,0,0,3.76
-53.380887228334586,125.08593958993112,albany,au,278.564,95,64,10.63
-32.88175698077585,149.14175593092682,wellington,au,286.09,100,40,1
-25.034969939617582,-174.1831032898005,vaini,to,295.614,100,88,5.68
70.24803329977308,-128.08431423407734,tuktoyaktuk,ca,267.664,82,80,5.41
49.383669076610886,-82.25429801388047,kapuskasing,ca,267.15,29,40,3.1
-70.15563253758293,178.54389674032416,kaitangata,nz,270.114,100,48,9.66
11.873329608128941,154.55637962902597,kavieng,pg,300.014,98,68,9.01
65.66826443626891,-40.70926068307102,tasiilaq,gl,263.864,78,76,4.88
30.750373773646103,-37.1559907147433,ribeira grande,pt,293.264,95,44,9.91
-21.800154444138684,174.98907189848302,isangel,vu,300.014,100,76,8.21
58.748893788468166,-118.99295763472668,high level,ca,279.214,55,0,1.48
-16.315388989837942,-80.29196792664413,pisco,pe,296.964,100,8,6.01
